id_movie,title,original_language
10428,Hackers,en
17447,Jeffrey,en
9886,Johnny Mnemonic,en
9482,Judge Dredd,en
19326,Jury Duty,en
9344,Kids,en
9071,Living In Oblivion,en
8973,Lord Of Illusions,en
15730,Love & Human Remains,en
47608,Mad Love,en
2293,Mallrats,en
9070,Mighty Morphin Power Rangers: The Movie,en
68274,Moonlight And Valentino,en
48787,Mute Witness,en
34574,Nadja,en
1642,The Net,en
11472,Nine Months,en
36196,Party Girl,en
11980,The Prophecy,en
58372,Reckless,en
32646,Safe,en
10533,The Scarlet Letter,en
56088,The Show,en
10802,Showgirls,en
10149,Smoke,en
18402,Something To Talk About,en
9348,Species,en
139408,The Stars Fell On Henrietta,en
281,Strange Days,en
5967,The Umbrellas Of Cherbourg,fr
79593,The Tie That Binds,en
47939,Three Wishes,en
36834,Total Eclipse,en
9090,"To Wong Foo, Thanks For Everything! Julie Newmar",en
3512,Under Siege 2: Dark Territory,en
52856,Unstrung Heroes,en
77350,Unzipped,en
9560,A Walk In The Clouds,en
9804,Waterworld,en
31611,White Man'S Burden,en
65796,Wild Bill,en
49805,The Browning Version,en
26258,Bushwhacked,en
50797,Burnt By The Sun,ru
19155,Before The Rain,en
76,Before Sunrise,en
11017,Billy Madison,en
37141,The Babysitter,en
9382,Boys On The Side,en
6715,The Cure,en
18256,Castle Freak,en
22625,Circle Of Friends,en
2292,Clerks,en
1909,Don Juan Demarco,en
8984,Disclosure,en
61813,Dream Man,en
4954,Drop Zone,en
62488,Destiny Turns On The Radio,it
10531,Death And The Maiden,en
11929,Dolores Claiborne,en
8467,Dumb And Dumber,en
10451,Eat Drink Man Woman,zh
20156,Exotica,en
18395,Exit To Eden,en
522,Ed Wood,en
397,French Kiss,en
10525,Forget Paris,en
27985,Far From Home: The Adventures Of Yellow Dog,en
15789,A Goofy Movie,en
27303,Hideaway,en
21183,Fluke,en
10954,Farinelli,fr
47867,Gordy,en
43475,Gumby: The Movie,en
72031,The Glass Shield,en
14275,Hoop Dreams,en
1024,Heavenly Creatures,en
17207,Houseguest,en
13701,Immortal Beloved,en
14819,Heavyweights,en
32631,The Hunted,en
11777,I.Q.,en
628,Interview With The Vampire,en
87729,Jefferson In Paris,en
18713,The Jerky Boys,en
6280,Junior,en
9061,Just Cause,en
37108,A Kid In King Arthur'S Court,en
6071,Kiss Of Death,en
11,Star Wars,en
9587,Little Women,en
19101,A Little Princess,en
49980,Ladybird Ladybird,en
17961,L'Enfer,fr
18183,Like Water For Chocolate,es
4476,Legends Of The Fall,en
11008,Major Payne,en
47504,Little Odessa,en
32325,Mi Vida Loca,en
43742,Love Affair,en
28313,Losing Isaiah,en
11318,The Madness Of King George,en
3036,Mary Shelley'S Frankenstein,en
40490,Man Of The House,en
24070,Mixed Nuts,en
8986,Milk Money,en
10510,Miracle On 34Th Street,en
17402,Miami Rhapsody,en
38722,My Family,en
8438,Murder In The First,en
11593,Nobody'S Fool,en
1945,Nell,en
39310,New Jersey Drive,en
109560,New York Cop,en
56428,Beyond Bedlam,en
63105,Nemesis 2 - Nebula,en
131957,Nina Takes A Lover,en
241,Natural Born Killers,en
9058,Only You,en
527,Once Were Warriors,en
18220,Poison Ivy Ii: Lily,en
6950,Outbreak,en
101,Leon: The Professional,fr
63020,The Perez Family,en
2307,A Pyromaniac'S Love Story,en
680,Pulp Fiction,en
41478,Panther,en
25296,Pushing Hands,zh
40156,Priest,en
11450,Quiz Show,en
30304,Picture Bride,en
10452,Queen Margot,fr
12106,The Quick And The Dead,en
161495,Roommates,sv
3586,Prêt-À-Porter,en
110,Three Colors: Red,fr
108,Three Colors: Blue,fr
109,Three Colors: White,fr
159185,"Red Firecracker, Green Firecracker",zh
36357,Rent-A-Kid,en
92769,Relative Fear,en
28033,Stuart Saves His Family,en
22586,The Swan Princess,en
14334,The Secret Of Roan Inish,en
2636,The Specialist,en
2164,Stargate,en
11395,The Santa Clause,en
278,The Shawshank Redemption,en
9905,Shallow Grave,en
87078,Suture,en
12527,Strawberry And Chocolate,es
20306,Swimming With Sharks,en
36614,The Sum Of Us,en
27993,Senior Trip,en
31439,To Live,zh
9067,Tank Girl,en
9059,Tales From The Crypt: Demon Knight,en
193,Star Trek: Generations,en
25066,Tales From The Hood,en
46797,Tom & Viv,en
12122,Village Of The Damned,en
11381,Tommy Boy,en
32636,Vanya On 42Nd Street,en
36141,The Underneath,en
95963,The Walking Dead,en
1587,What'S Eating Gilbert Grape,en
9271,Virtuosity,en
2064,While You Were Sleeping,en
19855,The War,en
60855,Double Happiness,en
236,Muriel'S Wedding,en
48287,The Baby-Sitters Club,en
3049,Ace Ventura: Pet Detective,en
2759,"The Adventures Of Priscilla, Queen Of The Desert",en
12635,Backbeat,en
10497,Bitter Moon,en
11382,Bullets Over Broadway,en
9331,Clear And Present Danger,en
10731,The Client,en
10464,"Corrina, Corrina",en
34152,Crooklyn,en
9495,The Crow,en
29973,Cobb,en
888,The Flintstones,en
13,Forrest Gump,en
712,Four Weddings And A Funeral,en
16295,Higher Learning,en
48992,I Like It Like That,en
10879,I Love Trouble,en
10660,It Could Happen To You,en
10714,The Jungle Book,en
41647,"The Wonderful, Horrible Life Of Leni Riefenstahl",en
8587,The Lion King,en
1689,Little Buddha,en
11596,New Nightmare,en
854,The Mask,en
9359,Maverick,en
23333,Mrs. Parker And The Vicious Circle,en
36593,The Naked Gun 33⅓: The Final Insult,en
12280,The Paper,en
2788,Reality Bites,en
10427,Red Rock West,en
11011,Ri¢Hie Ri¢H,en
49803,Safe Passage,en
8987,The River Wild,en
1637,Speed,en
15128,Speechless,en
8831,Timecop,en
36955,True Lies,en
10449,When A Man Loves A Woman,en
10395,Wolf,en
12160,Wyatt Earp,en
40480,Bad Company,en
52038,A Man Of No Importance,en
29444,S.F.W.,en
26352,A Low Down Dirty Shame,en
39953,"Boys Life: Three Stories Of Love, Lust, And Liberation",en
41580,Colonel Chabert,fr
315,"Faster, Pussycat! Kill! Kill!",en
22067,Jason'S Lyric,en
18242,The Secret Adventures Of Tom Thumb,en
11667,Street Fighter,en
32502,Coldblooded,en
267188,Desert Winds,en
28732,Fall Time,en
75555,The Fear,en
42981,Frank And Ollie,en
278939,Girl In The Cadillac,en
291731,Homage,en
226229,Mirage,en
203119,Open Season,en
172923,Dos Crímenes,en
316098,Brother Minister: The Assassination Of Malcolm X,en
8011,Highlander: The Final Dimension,en
171857,Federal Hill,en
2654,In The Mouth Of Madness,en
18069,8 Seconds,en
19092,Above The Rim,en
2758,Addams Family Values,en
38129,Martin Lawrence: You So Crazy,en
10436,The Age Of Innocence,en
13595,Airheads,en
46094,The Air Up There,en
9409,Another Stakeout,en
11853,Bad Girls,en
16771,Barcelona,en
46924,Being Human,en
11041,The Beverly Hillbillies,en
306,Beverly Hills Cop Iii,en
14522,Black Beauty,en
26203,Blink,en
178,Blown Away,en
19819,Blue Chips,en
57834,Blue Sky,en
4722,Body Snatchers,en
18215,Boxing Helena,en
1607,A Bronx Tale,en
26391,Cabin Boy,en
117553,Calendar Girl,en
6075,Carlito'S Way,en
11310,City Slickers Ii: The Legend Of Curly'S Gold,en
18658,Clean Slate,en
9350,Cliffhanger,en
9612,Coneheads,en
2124,Color Of Night,en
26261,Cops & Robbersons,en
19176,The Cowboy Way,en
49299,Dangerous Game,en
11566,Dave,en
9571,Dazed And Confused,en
9739,Demolition Man,en
24257,The Endless Summer 2,en
34444,Even Cowgirls Get The Blues,en
26141,Fatal Instinct,en
10997,Farewell My Concubine,zh
50463,The Favor,en
10443,Fearless,en
20239,Fear Of A Black Hat,en
16297,With Honors,en
18551,Flesh And Bone,en
25440,Widows' Peak,en
9024,For Love Or Money,en
37233,The Firm,en
1634,Free Willy,en
13815,Fresh,en
5503,The Fugitive,en
35588,Geronimo: An American Legend,en
2087,The Getaway,en
41579,Getting Even With Dad,en
18620,Go Fish,en
41006,A Good Man In Africa,en
4916,Guilty As Sin,en
2019,Hard Target,en
31642,Heaven & Earth,en
9255,Hot Shots! Part Deux,en
26271,Live Nude Girls,en
10612,The Englishman Who Went Up A Hill But Came Down A Mountain,en
2259,The House Of The Spirits,en
16097,House Party 3,en
11934,The Hudsucker Proxy,en
106143,I'Ll Do Anything,en
12475,In The Army Now,en
9386,In The Line Of Fire,en
7984,In The Name Of The Father,en
59930,The Inkwell,en
15765,What'S Love Got To Do With It,en
31643,Jimmy Hollywood,en
6,Judgment Night,en
329,Jurassic Park,en
10909,Kalifornia,en
507,Killing Zoe,en
34024,King Of The Hill,en
29918,Lassie,en
9593,Last Action Hero,en
42580,Life With Mikey,en
22317,Lightning Jack,en
1413,M. Butterfly,en
12121,Made In America,en
2246,Malice,en
10502,The Man Without A Face,en
10440,Manhattan Murder Mystery,en
9516,Menace Ii Society,en
2320,Executive Decision,en
5879,In The Realm Of The Senses,ja
83718,What Happened Was...,en
11971,Much Ado About Nothing,en
2625,Mr. Jones,en
31911,Mr. Wonderful,en
788,Mrs. Doubtfire,en
21450,Naked,en
11231,The Next Karate Kid,en
41588,The New Age,en
10447,No Escape,en
31586,North,en
9300,Orlando,en
9559,A Perfect World,en
9800,Philadelphia,en
713,The Piano,en
8291,Poetic Justice,en
18133,The Program,en
25557,The Puppet Masters,en
22588,Radioland Murders,en
10872,The Ref,en
1245,The Remains Of The Day,en
11858,Renaissance Man,en
7007,Rising Sun,en
10467,The Road To Wellville,en
5550,Robocop 3,en
8005,Robin Hood: Men In Tights,en
2088,Romeo Is Bleeding,en
10412,Romper Stomper,en
47889,Ruby In Paradise,en
14534,Rudy,en
56583,The Saint Of Fort Washington,en
41878,Savage Nights,fr
424,Schindler'S List,en
35233,The Scout,en
14291,Searching For Bobby Fischer,en
103413,Second Best,en
11236,The Secret Garden,en
11592,Serial Mom,en
8850,The Shadow,en
10445,Shadowlands,en
695,Short Cuts,en
43535,A Simple Twist Of Fate,en
12519,Sirens,en
23210,Six Degrees Of Separation,en
858,Sleepless In Seattle,en
867,Sliver,en
78,Blade Runner,en
13203,Son In Law,en
10442,So I Married An Axe Murderer,en
11074,Striking Distance,en
33367,Harem,en
9607,Super Mario Bros.,en
17585,Surviving The Game,en
9057,Terminal Velocity,en
20967,Thirty Two Short Films About Glenn Gould,en
10635,Threesome,en
9479,The Nightmare Before Christmas,en
10057,The Three Musketeers,en
11969,Tombstone,en
41590,Trial By Jury,en
319,True Romance,en
26408,The War Room,en
15139,The Pagemaster,en
161158,"Paris, France",en
218473,"The Beans Of Egypt, Maine",en
85247,Killer,en
11446,Welcome To The Dollhouse,en
51980,Germinal,en
24405,Chasers,en
11655,Cronos,en
11800,Naked In New York,en
8223,Kika,es
14587,Bhaji On The Beach,en
31504,Little Big League,en
41653,The Slingshot,sv
53185,Wide Eyed And Legless,en
95743,Foreign Student,en
23637,"Ciao, Professore!",en
17600,Spanking The Monkey,en
10897,The Little Rascals,en
349394,À La Mode,en
21352,Andre,en
68806,The Escort,it
37345,Princess Caraboo,en
32562,The Celluloid Closet,en
47507,Café Au Lait,en
25403,Dear Diary,it
124304,I Don'T Want To Talk About It,en
9066,The Brady Bunch Movie,en
771,Home Alone,en
251,Ghost,en
812,Aladdin,en
280,Terminator 2: Judgment Day,en
581,Dances With Wolves,en
80350,Tough And Deadly,en
268,Batman,en
274,The Silence Of The Lambs,en
408,Snow White And The Seven Dwarfs,en
10020,Beauty And The Beast,en
10895,Pinocchio,en
114,Pretty Woman,en
41043,Window To Paris,ru
576,The Wild Bunch,en
15477,Love And A .45,en
59146,The Wooden Man'S Bride,en
124472,A Great Day In Harlem,en
30528,Bye Bye Love,en
7300,One Fine Day,en
10824,Candyman: Farewell To The Flesh,en
261246,Century,en
275,Fargo,en
25059,Homeward Bound Ii: Lost In San Francisco,en
11827,Heavy Metal,en
8766,Hellraiser: Bloodline,en
23570,The Pallbearer,en
47333,Jane Eyre,en
54850,Loaded,en
51242,Bread And Chocolate,it
10112,The Aristocats,en
4307,The Flower Of My Secret,es
46029,Two Much,en
32308,Ed,en
88893,Scream Of Stone,de
52873,My Favorite Season,fr
123505,A Modern Affair,en
340210,Condition Red,en
44281,Halfaouine: Boy Of The Terraces,en
28121,A Thin Line Between Love And Hate,en
12520,The Last Supper,en
1592,Primal Fear,en
166901,Rude,en
36447,Carried Away,en
19042,All Dogs Go To Heaven 2,en
38884,Land And Freedom,en
47449,Denise Calls Up,en
36259,Theodore Rex,en
41852,A Family Thing,en
40926,Frisk,en
9099,Sgt. Bilko,en
2021,Jack & Sarah,en
61752,Girl 6,en
10988,Diabolique,en
11479,"Little Indian, Big City",fr
398959,Roula,de
287305,Peanuts – Die Bank Zahlt Alles,de
339428,Happy Weekend,de
12652,Nelly And Monsieur Arnaud,fr
10684,Courage Under Fire,en
954,Mission: Impossible,en
68445,Cold Fever,de
18989,Moll Flanders,en
10801,The Superwife,de
54285,"301, 302",ko
8840,Dragonheart,en
278978,Und Keiner Weint Mir Nach,de
124625,My Mother'S Courage,de
11107,Eddie,en
16417,Yankee Zulu,en
70934,Billy'S Holiday,en
10363,Purple Noon,fr
161070,August,en
10539,James And The Giant Peach,en
10543,Fear,en
18414,Kids In The Hall: Brain Candy,en
47502,Faithful,en
11902,Underground,sr
27098,All Things Fair,sv
25087,Bloodsport Ii,en
5801,Pather Panchali,bn
896,The World Of Apu,bn
3065,Mystery Science Theater 3000: The Movie,en
318177,Tarantella,en
2300,Space Jam,en
8069,Barbarella,en
288173,Hostile Intentions,en
187851,They Bite,en
27768,Some Folks Call It A Sling Blade,en
221917,The Run Of The Country,en
8072,Alphaville,fr
35797,Coup De Torchon,fr
88030,Tigrero: A Film That Was Never Made,en
185191,The Eye Of Vichy,en
83857,Windows,en
33245,It'S My Party,en
124460,Country Life,en
27281,Operation Dumbo Drop,en
105045,The Promise,de
40001,Mrs. Winterbourne,en
29621,Solo,en
117730,Under The Domim Tree,he
20762,The Substitute,en
37144,True Crime,en
48260,Butterfly Kiss,en
12656,Feeling Minnesota,en
38867,Delta Of Venus,en
277270,To Cross The Rubicon,en
25969,Angus,en
44103,Priest Daens,nl
753,Faces,en
43634,Boys,en
9103,The Quest,en
90214,Cosi,en
29649,Sunset Park,en
10990,Mulholland Falls,en
8866,The Truth About Cats & Dogs,en
12233,Oliver & Company,en
23449,Celtic Pride,en
36355,Flipper,en
37667,Captives,en
90148,Of Love And Shadows,en
922,Dead Man,en
11876,The Horseman On The Roof,en
52633,Switchblade Sisters,en
62364,Mouth To Mouth,es
11687,The Visitors,fr
9304,Multiplicity,en
73183,"The Haunted World Of Edward D. Wood, Jr.",en
131232,Two Friends,en
9100,The Craft,en
20759,The Great White Hype,en
46063,Last Dance,en
32513,Cold Comfort Farm,en
40651,"Institute Benjamenta, Or This Dream People Call Human Life",en
36915,Heaven'S Prisoners,en
40507,Original Gangstas,en
9802,The Rock,en
25697,Getting Away With Murder,en
21588,Cemetery Man,it
664,Twister,en
11867,Barb Wire,en
47119,Le Garçu,fr
314352,Honeymoon,de
9323,Ghost In The Shell,ja
10280,Thinner,en
10535,Spy Hard,en
124613,Brothers In Trouble,en
532,A Close Shave,en
26744,Force Of Evil,en
16299,The Stupids,en
10547,The Arrival,en
245268,The Man From Down Under,en
935,Dr. Strangelove Or: How I Learned To Stop Worrying And Love The Bomb,en
55613,Careful,en
41007,A Month By The Lake,en
35645,Gold Diggers: The Secret Of Bear Mountain,en
110465,Kim,en
255546,Carmen Miranda: Bananas Is My Business,pt
40751,Ashes Of Time,zh
275096,The Jar,en
85778,Maya Lin: A Strong Clear Vision,en
11101,Stalingrad,de
9826,The Phantom,en
9879,Striptease,en
63564,The Last Of The High Kings,en
22621,Heavy,en
7095,Jack,en
26890,I Shot Andy Warhol,en
46732,The Grass Harp,en
124633,Someone Else'S America,sr
202425,Life Is Rosy,fr
196940,Quartier Mozart,en
77771,Touki Bouki,wo
181083,God'S Gift,fr
41225,Spirits Of The Dead,fr
188589,Babyfever,en
87190,Pharaoh'S  Army,en
627,Trainspotting,en
32872,Til There Was You,en
602,Independence Day,en
14553,Stealing Beauty,en
9566,The Fan,en
10545,The Hunchback Of Notre Dame,en
9894,The Cable Guy,en
11543,Kingpin,en
9268,Eraser,en
52059,The Gate Of Heavenly Peace,en
9327,The Nutty Professor,en
123763,"I, The Worst Of All",es
81949,An Unforgettable Summer,ro
42005,A Hungarian Fairy Tale,en
124306,My Life And Times With Antonin Artaud,en
183955,Midnight Dancers,en
44535,Somebody To Love,en
44495,A Very Natural Thing,en
78285,The Old Lady Who Walked In The Sea,fr
11228,Daylight,en
10779,The Frighteners,en
26748,Lone Star,en
38223,Harriet The Spy,en
9294,Phenomenon,en
49963,Walking And Talking,en
11363,She'S The One,en
1645,A Time To Kill,en
31546,American Buffalo,en
77056,Rendezvous In Paris,fr
36344,Alaska,en
18550,Fled,en
11511,Kazaam,en
172198,Magic Hunter,hu
34170,Larger Than Life,en
281085,A Boy Called Hate,en
109478,Power 98,en
124645,Two Deaths,en
12606,A Very Brady Sequel,en
69895,Stefano Quantestorie,en
35206,Death In The Garden,fr
151489,Hedd Wyn,cy
4837,La Collectionneuse,fr
12632,Kaspar Hauser,de
9098,Regular Guys,de
282919,Diebinnen,de
124614,The Convent,en
18975,The Adventures Of Pinocchio,en
11962,Joe'S Apartment,en
2925,The First Wives Club,en
28628,Stonewall,en
3595,Ransom,en
9308,High School High,en
92381,Phat Beach,en
18555,Foxfire,en
12123,Chain Reaction,en
10830,Matilda,en
3573,Emma,en
10546,The Crow: City Of Angels,en
18862,House Arrest,en
31417,Eyes Without A Face,fr
9431,Bordello Of Blood,en
124619,Lotto Land,en
297645,The Story Of Xinghua,en
48144,The Day The Sun Turned Cold,zh
46986,Flirt,en
144982,The Big Squeeze,en
47907,The Spitfire Grill,en
10061,Escape From L.A.,en
36266,Cyclo,vi
549,Basquiat,en
10478,Tin Cup,en
66634,Dingo,en
116690,The Ballad Of Narayama,ja
213917,Every Other Weekend,fr
145925,Mille Bolle Blu,it
100914,Crows And Sparrows,en
238,The Godfather,en
159,Maybe... Maybe Not,de
11134,Police Story 3: Supercop,cn
88224,Manny & Lo,en
42758,Small Faces,en
9303,Bound,en
23945,Carpool,en
37820,Death In Brunswick,en
22479,Kansas City,en
9054,Gone Fishin',en
241058,Lover'S Knot,de
11985,Vive L'Amour,zh
10232,Shadow Of Angels,de
59569,Killer: A Journal Of Murder,en
410921,Nothing To Lose,en
38955,Project S,cn
110513,Girls Town,en
114089,Bye-Bye,en
11015,The Relic,en
9306,The Island Of Dr. Moreau,en
12559,First Kid,en
58770,The Trigger Effect,en
124851,Sweet Nothing,en
3587,Bogus,en
10723,Bulletproof,en
56077,Talk Of Angels,en
19004,The Land Before Time Iii: The Time Of The Great Giving,en
101230,1-900,nl
253632,Baton Rouge,fr
10987,Halloween: The Curse Of Michael Myers,en
44705,Twelfth Night,en
20318,Mother Night,en
43596,Liebelei,de
79782,Venice,en
26933,Wild Reeds,fr
27854,For Whom The Bell Tolls,en
981,The Philadelphia Story,en
872,Singin' In The Rain,en
2769,An American In Paris,en
13320,Funny Face,en
164,Breakfast At Tiffany'S,en
426,Vertigo,en
567,Rear Window,en
3078,It Happened One Night,en
13528,Gaslight,en
28288,The Gay Divorcee,en
213,North By Northwest,en
284,The Apartment,en
239,Some Like It Hot,en
4808,Charade,en
289,Casablanca,en
963,The Maltese Falcon,en
11113,My Fair Lady,en
6620,Sabrina,en
804,Roman Holiday,en
26531,The Little Princess,en
909,Meet Me In St. Louis,en
630,The Wizard Of Oz,en
770,Gone With The Wind,en
31044,My Favorite Year,en
599,Sunset Boulevard,en
15,Citizen Kane,en
62,2001: A Space Odyssey,en
121357,Golden Earrings,en
705,All About Eve,en
22490,The Women,en
223,Rebecca,en
25670,Foreign Correspondent,en
303,Notorious,en
4174,Spellbound,en
8356,An Affair To Remember,en
381,To Catch A Thief,en
20758,Father Of The Bride,en
29376,The Band Wagon,en
1859,Ninotchka,en
18299,Love In The Afternoon,en
17281,Gigi,en
64382,The Reluctant Debutante,it
10907,The Adventures Of Robin Hood,en
32093,The Mark Of Zorro,en
1939,Laura,en
22292,The Ghost And Mrs. Muir,en
3598,Lost Horizon,en
3080,Top Hat,en
198,To Be Or Not To Be,en
13562,My Man Godfrey,en
1712,Giant,en
220,East Of Eden,en
3529,The Thin Man,en
3085,His Girl Friday,en
2897,Around The World In Eighty Days,en
1585,It'S A Wonderful Life,en
3083,Mr. Smith Goes To Washington,en
900,Bringing Up Baby,en
43795,Penny Serenade,en
85638,The Scarlet Letter,en
50001,Lady Of Burlesque,en
43905,Of Human Bondage,en
22688,Angel On My Shoulder,en
23114,Little Lord Fauntleroy,en
26378,They Made Me A Criminal,en
40206,The Inspector General,en
22356,Angel And The Badman,en
260,The 39 Steps,en
43488,A Walk In The Sun,en
22613,The Outlaw,en
10331,Night Of The Living Dead,en
488,The African Queen,en
22733,Beat The Devil,en
261,Cat On A Hot Tin Roof,en
57575,The Last Time I Saw Paris,en
32574,Meet John Doe,en
22657,Algiers,en
76464,Something To Sing About,en
176841,Moonlight Murder,en
125587,Nothing Personal,en
39448,"Yes, Madam",cn
52855,Dangerous Ground,en
39940,Picnic,en
172868,Madagascar Skin,en
85328,The Pompatus Of Love,en
124632,Small Wonders,en
11076,Fly Away Home,en
63945,Bliss,en
58985,Grace Of My Heart,en
890,Brother Of Sleep,de
10861,Maximum Risk,en
1770,Michael Collins,en
44465,The Rich Man'S Wife,en
2033,Infinity,en
18203,Big Night,en
9333,Last Man Standing,en
47260,Caught,en
9400,Set It Off,en
9401,2 Days In The Valley,en
12241,Curdled,en
25739,L'Associé,en
161806,Ed'S Next Move,en
11306,Extreme Measures,en
9625,The Glimmer Man,en
10680,D3: The Mighty Ducks,en
6346,The Chamber,en
18660,The Apple Dumpling Gang,en
35115,"Davy Crockett, King Of The Wild Frontier",en
14821,Escape To Witch Mountain,en
14136,The Love Bug,en
10869,Herbie Rides Again,en
22660,Old Yeller,en
19186,The Parent Trap,en
31102,Pollyanna,en
6878,Homeward Bound: The Incredible Journey,en
15944,The Shaggy Dog,en
18444,Swiss Family Robinson,en
20723,That Darn Cat!,en
173,"20,000 Leagues Under The Sea",en
864,Cool Runnings,en
24795,Angels In The Outfield,en
11224,Cinderella,en
81310,Winnie The Pooh And The Blustery Day,en
15947,The Three Caballeros,en
9078,The Sword In The Stone,en
29682,So Dear To My Heart,en
8367,Robin Hood: Prince Of Thieves,en
433,Mary Poppins,en
11360,Dumbo,en
11114,Pete'S Dragon,en
12335,Bedknobs And Broomsticks,en
12092,Alice In Wonderland,en
10948,The Fox And The Hound,en
11229,Freeway,en
15121,The Sound Of Music,en
562,Die Hard,en
10163,The Lawnmower Man,en
48862,Unhook The Stars,en
117036,Synthetic Pleasures,en
47199,The Secret Agent,en
11159,Secrets & Lies,en
9591,That Thing You Do!,en
30500,To Gillian On Her 37Th Birthday,en
41843,Surviving Picasso,en
55058,Love Is All There Is,en
10938,Beautiful Thing,en
11412,The Long Kiss Goodnight,en
10586,The Ghost And The Darkness,en
42314,Looking For Richard,en
27845,Trees Lounge,en
108365,The Proprietor,en
23223,Normal Life,en
49471,Get On The Bus,en
38153,Shadow Conspiracy,en
25147,Jude,en
9716,Everyone Says I Love You,en
43777,Bitter Sugar,es
454,Romeo + Juliet,en
